,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,162,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:42,000980
0,上证指数,2827.0823,2831.1837,2808.5038,2837.5092,2804.4929,0,0,77318350,93719195629,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:41,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.5038,2837.5092,2804.4929,0,0,77318350,93719195629,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:41,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.2564,2837.5092,2804.4929,0,0,77339050,93742112633,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:46,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.2564,2837.5092,2804.4929,0,0,77339050,93742112633,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:46,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.2564,2837.5092,2804.4929,0,0,77339050,93742112633,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:46,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.3203,2837.5092,2804.4929,0,0,77361284,93767507962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:51,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.3203,2837.5092,2804.4929,0,0,77361284,93767507962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:51,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.3203,2837.5092,2804.4929,0,0,77361284,93767507962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:51,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.3203,2837.5092,2804.4929,0,0,77361284,93767507962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:51,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3809912,27045816.240,172,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:48,000980
0,上证指数,2827.0823,2831.1837,2808.3203,2837.5092,2804.4929,0,0,77361284,93767507962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:51,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3811812,27059325.240,153,7.110,388,7.100,236,7.090,528,7.080,131,7.070,485,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:36:57,000980
0,上证指数,2827.0823,2831.1837,2808.3203,2837.5092,2804.4929,0,0,77361284,93767507962,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:51,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0143,2837.5092,2804.4929,0,0,77382035,93792113274,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:56,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0143,2837.5092,2804.4929,0,0,77382035,93792113274,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:56,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0143,2837.5092,2804.4929,0,0,77382035,93792113274,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:56,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0143,2837.5092,2804.4929,0,0,77382035,93792113274,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:36:56,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0310,2837.5092,2804.4929,0,0,77404095,93816450758,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:01,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0310,2837.5092,2804.4929,0,0,77404095,93816450758,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:01,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2808.0310,2837.5092,2804.4929,0,0,77404095,93816450758,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:01,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3812012,27060749.240,151,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:00,000980
0,上证指数,2827.0823,2831.1837,2807.8098,2837.5092,2804.4929,0,0,77423052,93842233141,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:06,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3817012,27096299.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:09,000980
0,上证指数,2827.0823,2831.1837,2807.8098,2837.5092,2804.4929,0,0,77423052,93842233141,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:06,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3817012,27096299.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:09,000980
0,上证指数,2827.0823,2831.1837,2807.8098,2837.5092,2804.4929,0,0,77423052,93842233141,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:06,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3817012,27096299.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,483,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:09,000980
0,上证指数,2827.0823,2831.1837,2807.8098,2837.5092,2804.4929,0,0,77423052,93842233141,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:06,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,480,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:12,000980
0,上证指数,2827.0823,2831.1837,2807.8098,2837.5092,2804.4929,0,0,77423052,93842233141,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:06,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,480,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:12,000980
0,上证指数,2827.0823,2831.1837,2807.8641,2837.5092,2804.4929,0,0,77444856,93868670437,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:11,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,420,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:15,000980
0,上证指数,2827.0823,2831.1837,2807.8641,2837.5092,2804.4929,0,0,77444856,93868670437,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:11,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,420,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:15,000980
0,上证指数,2827.0823,2831.1837,2807.8641,2837.5092,2804.4929,0,0,77444856,93868670437,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:11,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,420,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:15,000980
0,上证指数,2827.0823,2831.1837,2807.8641,2837.5092,2804.4929,0,0,77444856,93868670437,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:11,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:18,000980
0,上证指数,2827.0823,2831.1837,2807.8641,2837.5092,2804.4929,0,0,77444856,93868670437,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:11,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,388,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:18,000980
0,上证指数,2827.0823,2831.1837,2807.7824,2837.5092,2804.4929,0,0,77467880,93900228773,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:16,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.7824,2837.5092,2804.4929,0,0,77467880,93900228773,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:16,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.8348,2837.5092,2804.4929,0,0,77492618,93926830276,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:21,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.8348,2837.5092,2804.4929,0,0,77492618,93926830276,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:21,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.8348,2837.5092,2804.4929,0,0,77492618,93926830276,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:21,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.8348,2837.5092,2804.4929,0,0,77492618,93926830276,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:21,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.8348,2837.5092,2804.4929,0,0,77492618,93926830276,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:21,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.8348,2837.5092,2804.4929,0,0,77492618,93926830276,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:21,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.3020,2837.5092,2804.4929,0,0,77514802,93950276965,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:26,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.3020,2837.5092,2804.4929,0,0,77514802,93950276965,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:26,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.3020,2837.5092,2804.4929,0,0,77514802,93950276965,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:26,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.3020,2837.5092,2804.4929,0,0,77514802,93950276965,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:26,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.3020,2837.5092,2804.4929,0,0,77514802,93950276965,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:26,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.3020,2837.5092,2804.4929,0,0,77514802,93950276965,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:26,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2808.5198,2837.5092,2804.4929,0,0,77538161,93975755189,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:31,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.7081,2837.5092,2804.4929,0,0,77563146,94001874581,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:36,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,528,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:21,000980
0,上证指数,2827.0823,2831.1837,2807.7081,2837.5092,2804.4929,0,0,77563146,94001874581,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:36,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,523,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:39,000980
0,上证指数,2827.0823,2831.1837,2807.7081,2837.5092,2804.4929,0,0,77563146,94001874581,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:36,000001
1,众泰汽车,7.170,7.100,7.120,7.200,7.030,7.110,7.120,3817312,27098435.240,101,7.110,393,7.100,236,7.090,523,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:39,000980
0,上证指数,2827.0823,2831.1837,2807.7081,2837.5092,2804.4929,0,0,77563146,94001874581,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:37:36,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3822312,27133985.240,51,7.110,393,7.100,236,7.090,523,7.080,131,7.070,430,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:37:42,000980
